year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,ict business process consultant/business analyst,11043,8500,6264,10812,8281,6200
2024,ict quality assurance specialist,14424,7666,4797,14364,7645,4784
2024,ict sales and services professional,16132,8433,4300,13685,7153,3776
2024,ict service manager,13226,9503,7280,13000,9390,7209
2024,industrial and organisational psychologist,8762,6706,5277,8642,6706,5277
2024,industrial machinery and tools engineer,7620,6000,4642,7532,5623,4500
2024,industrial relations manager,14997,9176,6490,14975,9122,6425
2024,industrial relations officer,6528,5292,4078,5479,4634,3771
2024,industrial safety engineer,9009,6602,4649,8713,6110,4300
2024,industrial/office machinery mechanic,4974,4012,3254,4810,4000,3087
2024,information technology trainer (extracurriculum),8550,6119,4249,8515,6000,4227
2024,"in-house legal counsel (except judiciary, ministries and statutory boards)",22218,17972,12000,22035,17650,12000
2024,instrumentation engineer,8775,6945,4142,8553,6841,4012
2024,instrumentation technician,4580,3626,2826,3923,3172,2719
2024,insurance investigator,6727,6125,4697,6727,6081,4697
2024,insurance sales agent/broker (including independent financial planner),6887,5780,4350,6800,5780,4330
2024,insurance services manager,16338,10466,6657,16338,10391,6592
2024,insurance underwriter,12200,6991,4800,12068,6926,4800
2024,insurance/underwriting clerk,7333,5045,3791,6967,4789,3618
2024,intellectual property agent,5300,4464,3111,5266,4060,3111
2024,interaction designer,11400,7883,5913,11291,7791,5900
2024,interior designer,6000,4700,3430,6000,4700,3430
2024,internal medicine physician,8186,6391,6071,7228,5861,5541
2024,international market agent/representative (e.g. junket operator),19300,9530,5124,19300,8500,5108
2024,it infrastructure specialist,10740,7881,5718,10662,7811,5616
2024,it infrastructure technician,5249,4100,3200,5200,4000,3090
2024,it security technician,7000,4542,3859,7000,4542,3859
2024,it support technician (including it user helpdesk technician),7447,5148,3760,7245,4860,3500
2024,joiner,3615,2411,1600,3600,2142,1600
2024,journalist,8423,6000,4779,8370,6000,4771
2024,"keeper/trainer in zoological, bird and aquatic parks",3387,2803,2552,3387,2803,2552
2024,kitchen assistant,2192,1600,1400,1990,1419,1204
2024,kitchen operations head/supervisor,4000,3949,3329,4000,3829,3150
2024,laboratory attendant,4093,2651,1850,3605,2578,1850
2024,land surveying technician,5494,3400,2560,5494,3400,2560
2024,land surveyor,6351,5000,3185,5410,3300,1600
2024,land transport clerk,3995,2909,1742,3290,2500,1600
2024,landscape and plant nursery supervisor,3500,2575,1750,3379,2501,1698
2024,landscape architect,10102,6145,5500,10102,6120,5500
2024,landscape manager,6000,4300,2800,6000,4300,2800
2024,landscape operations officer,3903,3325,2830,3903,3220,2706
2024,landscape worker,1902,1800,1750,1881,1782,1733
2024,language instructor (extracurriculum),4900,4329,3905,4600,4070,3650
2024,leaflet and newspaper distributor/deliverer,2244,1600,1600,2142,1600,1600
2024,ledger and accounts clerk,4403,3340,2300,4232,3201,2200
2024,legal associate professional (e.g. paralegal),7200,4557,3535,7131,4507,3515
2024,legal clerk,6000,4250,3045,5849,4195,3000
2024,librarian,8470,6659,5352,8448,6545,5310
2024,library clerk,2531,2426,2080,2464,2390,2000
